Clients,AGO stored,PMS stored,Storage as at,Expected_picking,AGO_picked,PMS_picked,Picked date_ago
HASS UGANDA,7488053.78,9847685.18,12/24/2023,12/07/2023,9806657.28,6090014.61,12/25/2023
ONE P,4247659.04,6759696.21,12/05/2023,12/25/2023,2762704.1,3675030.93,12/01/2023
ONE P,5885311.11,568670.97,12/11/2023,12/28/2023,1077996.5,3265367.81,12/09/2023
REGIDE-BURUNDI,5333538.71,4628571.08,12/24/2023,12/30/2023,7960490.26,7994688.03,12/18/2023
HASS DRC CMA,4441093.52,197930.96,12/15/2023,12/22/2023,8200576.82,1728175.62,12/06/2023
ONE P,4326766.38,7781387.01,12/14/2023,12/27/2023,1329443.52,41045.79,12/04/2023
HASS DRC,1362265.5,1343970.43,12/06/2023,12/10/2023,6715644.15,3905204.1,12/06/2023
MEWD ZAMBIA,3928257.87,2013239.29,12/06/2023,12/10/2023,606936.37,6688824.3,12/05/2023
REGIDE-BURUNDI,1474113.87,3837131.06,12/25/2023,12/22/2023,7218080.45,1415876.45,12/12/2023
TANK,3551248.67,3019881.4,12/09/2023,12/28/2023,5529597.57,4677659.01,12/30/2023
REGIDE-BURUNDI,2579040.92,9738504.56,12/24/2023,12/29/2023,1271697.21,7836283.19,12/29/2023
HASS ZAMBIA CMA,6192476.85,684684.47,12/08/2023,12/18/2023,4769798.95,7972899.76,12/26/2023
HASS UGANDA,2159788.94,7080866.17,12/22/2023,12/07/2023,5286585.21,6692767.12,12/21/2023
HASS RWANDA CMA,8195632.55,2249695.37,12/05/2023,12/27/2023,7239003.24,5482582.63,12/01/2023
MEWD ZAMBIA,8422711.69,301687.67,12/10/2023,12/03/2023,3906889.46,6405015.02,12/23/2023
NOTIONAL OIL COMPANY OF MALAWI,9866520.39,9768373.02,12/01/2023,12/14/2023,6790384.43,7738754.97,12/16/2023
ONE P,6185888.1,8856231.25,12/13/2023,12/10/2023,8136265.67,7985813,12/21/2023
HASS UGANDA,7136254.38,9648194.83,12/15/2023,12/26/2023,3969965.09,6023684.22,12/12/2023
NURAH ENERGY DRC,4990411.12,8507518.2,12/26/2023,12/23/2023,3438615.6,5599716.52,12/20/2023
HASS RWANDA CMA,9940901.91,6159736.47,12/23/2023,12/11/2023,9898255.59,545062.05,12/08/2023
HASS DRC,7249849.2,9155057.25,12/24/2023,12/11/2023,9102005.07,6396347.68,12/19/2023
NURAH ENERGY DRC,5162834.06,742960.42,12/12/2023,12/21/2023,4802563.72,261268.04,12/15/2023
ONE P,3318774.28,1545507.07,12/15/2023,12/27/2023,3390809.84,9866500.1,12/02/2023
HASS TZ CMA,6895959.51,489594.42,12/30/2023,12/05/2023,8107564.19,1804803.69,12/21/2023
HASS ZAMBIA CMA,5293995.69,6478596.51,12/18/2023,12/21/2023,3826226.29,4492452.82,12/17/2023
HASS UGANDA,2961894.43,8033633.27,12/14/2023,12/02/2023,6135981.87,2442740.06,12/16/2023
HASS RWANDA CMA,9157365.76,3031457.09,12/30/2023,12/19/2023,8988002.72,8019489.28,12/26/2023
HASS DRC,9837972.86,8714258.01,12/10/2023,12/20/2023,9357857.52,9469535.28,12/11/2023
ONE P,4536997.43,786336.05,12/15/2023,12/08/2023,2275872.76,2324133.25,12/27/2023
HASS UGANDA,5086740.99,3038498.47,12/24/2023,12/24/2023,7804415.57,7266809.7,12/20/2023
HASS RWANDA CMA,3234234.99,3932014.07,12/25/2023,12/05/2023,1361202.86,3469822.79,12/25/2023
HASS ZAMBIA CMA,3773866.36,6676541.48,12/03/2023,12/13/2023,2071229.48,4767563.43,12/21/2023
HASS TZ CMA,9229028.43,8816304.21,12/24/2023,12/03/2023,2070213.68,5458525.48,12/07/2023
HASS DRC,9701414.45,8580116.97,12/06/2023,12/18/2023,8364640.92,9734592.64,12/04/2023
HASS UGANDA CMA,2571022.94,4857637.12,12/26/2023,12/27/2023,426352.67,2000445.69,12/13/2023
HASS UGANDA,4471139.25,8246278.86,12/22/2023,12/12/2023,6925742.68,6313658.57,12/26/2023
HASS TZ CMA,609204.88,4726092.48,12/15/2023,12/01/2023,1892557.04,8647975.27,12/18/2023
HASS DRC CMA,3356959.24,7255499.3,12/18/2023,12/03/2023,6690152.67,207575.26,12/06/2023
HASS ZAMBIA CMA,7504502.45,3596149.33,12/24/2023,12/03/2023,7546856.25,3595599.52,12/11/2023
HASS TZ,9492132.13,1449539.65,12/28/2023,12/17/2023,2488700.53,9221878.83,12/30/2023
HASS UGANDA,2888985.66,5615694.21,12/11/2023,12/23/2023,7561358.23,5005686.42,12/08/2023
HASS RWANDA CMA,4029414.49,2583399.02,12/28/2023,12/03/2023,8107281.8,1635823.36,12/16/2023
HASS TZ CMA,3189568.55,5519759.44,12/24/2023,12/11/2023,1614248.18,7961560.09,12/25/2023
HASS RWANDA CMA,7331603.26,5435602.24,12/28/2023,12/23/2023,1730538.2,6593005.6,12/24/2023
HASS DRC CMA,1132766.49,2024565.77,12/01/2023,12/02/2023,9791433.65,5806022.67,12/01/2023
HASS TZ CMA,6631784.21,9724448.14,12/17/2023,12/18/2023,215826.35,1618336.22,12/16/2023
REGIDE-BURUNDI,9088172.07,8715054.84,12/29/2023,12/02/2023,6881393.54,4703351.26,12/23/2023
HASS TZ,5024632.36,5254335.59,12/27/2023,12/03/2023,6826338.65,5676633.61,12/03/2023
TANK,625810.64,7535670.46,12/26/2023,12/09/2023,6126427.21,607479.6,12/01/2023
HASS DRC CMA,2530255.36,7589504.16,12/23/2023,12/02/2023,3731784.66,5363739.46,12/20/2023
HASS TZ,4020878.31,6238143.78,12/13/2023,12/07/2023,2282624.09,2547872.46,12/02/2023
HASS UGANDA CMA,433788.58,690404.65,12/10/2023,12/08/2023,8052600.68,6555302.26,12/21/2023
HASS RWANDA CMA,1198534.21,2578013.62,12/04/2023,12/07/2023,3481284.35,2199023.95,12/02/2023
NURAH ENERGY DRC,7942568.93,1027533.46,12/10/2023,12/16/2023,4028536.76,4556439.28,12/10/2023
HASS UGANDA CMA,4856941.34,5398505.15,12/28/2023,12/03/2023,792849.41,7899659.3,12/26/2023
MEWD ZAMBIA,9873114.88,6793369.47,12/13/2023,12/03/2023,6279818.05,7592850.33,12/21/2023
ONE P,6936017.79,6416972.68,12/08/2023,12/01/2023,8651109.71,5729055.54,12/12/2023
MEWD ZAMBIA,3623496.94,2881975.79,12/19/2023,12/01/2023,8941494.81,5632301.52,12/07/2023
HASS DRC CMA,926919.02,8813490.38,12/28/2023,12/06/2023,3926074.6,6178220.61,12/17/2023
HASS DRC,2952666.94,3131812.61,12/15/2023,12/27/2023,279394.45,907677.42,12/11/2023
HASS TZ CMA,7805118.55,6227793.24,12/20/2023,12/09/2023,2317974.8,3946720.24,12/19/2023
MEWD ZAMBIA,2189991.28,4118102.14,12/09/2023,12/29/2023,1191081.82,1117721.86,12/27/2023
HASS RWANDA CMA,4976021.53,4964585.13,12/14/2023,12/26/2023,9460550.89,9920999.71,12/06/2023
HASS UGANDA CMA,3909638.55,7349428.34,12/01/2023,12/26/2023,409030.93,5510264.89,12/13/2023
HASS TZ CMA,9189068.55,9028163.12,12/19/2023,12/18/2023,1023505.22,144092.1,12/29/2023
REGIDE-BURUNDI,5575819.84,3361031.42,12/21/2023,12/17/2023,4427381.14,2683978.73,12/04/2023
TANK,7970072.11,6436203.72,12/19/2023,12/29/2023,3965037.48,6942515.82,12/12/2023
HASS RWANDA,919374.33,8894105.84,12/21/2023,12/23/2023,33063.19,7126262.8,12/13/2023
HASS TZ CMA,9538729.95,9506113.36,12/13/2023,12/27/2023,8832708.79,4511411.5,12/19/2023
HASS DRC,5738826.11,1085865.24,12/09/2023,12/14/2023,8345820.18,8082055.62,12/02/2023
HASS UGANDA,500017.64,7241840.32,12/19/2023,12/02/2023,8587524.74,3664958.73,12/04/2023
HASS DRC,8580601.58,5661334.63,12/13/2023,12/28/2023,3985653.37,333783.57,12/06/2023
HASS ZAMBIA CMA,790128.76,7906439.71,12/07/2023,12/21/2023,9421033.86,7666025.68,12/24/2023
HASS DRC CMA,4706160.3,548019.75,12/20/2023,12/02/2023,6119504.03,1797020.69,12/01/2023
HASS DRC,2797617.59,6640940.8,12/21/2023,12/01/2023,6806160.9,7076506.39,12/07/2023
HASS DRC CMA,5017754.78,7686493.63,12/27/2023,12/04/2023,398218.53,1152445.05,12/29/2023
HASS ZAMBIA CMA,7955928.66,9473348.45,12/25/2023,12/20/2023,5280652.3,3309848.94,12/30/2023
REGIDE-BURUNDI,4103414.61,7686101.75,12/25/2023,12/03/2023,1678552.17,8599612.74,12/15/2023
REGIDE-BURUNDI,1150386.38,7974767.73,12/20/2023,12/19/2023,6112119.64,8468603.33,12/23/2023
HASS RWANDA CMA,2617844.24,8598514.21,12/23/2023,12/13/2023,6950921.3,8203934.74,12/12/2023
HASS TZ CMA,6647164.87,8575534.03,12/05/2023,12/03/2023,2935279.57,5931477.38,12/10/2023
MEWD ZAMBIA,5301738.55,6701536.08,12/23/2023,12/19/2023,4489224.75,6476580.99,12/19/2023
HASS UGANDA CMA,6343568.25,4451547.55,12/07/2023,12/01/2023,155462.57,722088.24,12/09/2023
HASS DRC,5745823.25,1308517.52,12/05/2023,12/29/2023,2929386.07,9904587.12,12/17/2023
REGIDE-BURUNDI,9933648.78,2933001.38,12/19/2023,12/08/2023,9781508.16,6303002.47,12/17/2023
HASS DRC CMA,4185381.19,2167231.17,12/12/2023,12/14/2023,2271131.41,3934671.02,12/17/2023
HASS TZ CMA,7223998.44,3534552.11,12/20/2023,12/08/2023,9971450.81,1361363.66,12/20/2023
HASS RWANDA CMA,7737775.79,6170047.99,12/02/2023,12/09/2023,653239.6,7971287.54,12/11/2023
HASS TZ CMA,7237336.18,1252913.43,12/22/2023,12/12/2023,6605002.99,2464042.7,12/20/2023
HASS TZ CMA,550906.48,1835048.34,12/01/2023,12/16/2023,144255.96,2194178.03,12/21/2023
REGIDE-BURUNDI,8584286.59,4298059.52,12/05/2023,12/06/2023,6117427.86,8760664.75,12/08/2023
TANK,1763603.28,7252154.56,12/22/2023,12/11/2023,8357647.89,5938940.75,12/09/2023
NURAH ENERGY DRC,221665.47,7184970.49,12/06/2023,12/05/2023,4329128.8,1337359.76,12/28/2023
HASS RWANDA,5488558.83,894288.2,12/12/2023,12/10/2023,8729741.9,7560281.97,12/07/2023
MEWD ZAMBIA,6878870.58,6150352.81,12/16/2023,12/20/2023,1312122.83,9569711.82,12/23/2023
NOTIONAL OIL COMPANY OF MALAWI,7947315.77,9517940.15,12/15/2023,12/17/2023,351866.47,3782129.75,12/11/2023
HASS RWANDA CMA,9058148.62,7359608.31,12/20/2023,12/04/2023,1983244.89,3837536.27,12/25/2023
HASS RWANDA CMA,2018459.82,6220105.44,12/10/2023,12/25/2023,2242227.7,1505709.16,12/01/2023
NURAH ENERGY DRC,4770442.8,2033403.21,12/02/2023,12/25/2023,3109697.7,5997113.56,12/09/2023
HASS UGANDA CMA,8511952.32,5116848.95,12/03/2023,12/13/2023,9201122.89,2076396.31,12/03/2023
NURAH ENERGY DRC,8575317.35,2374094.46,12/04/2023,12/23/2023,5310428.9,5385500.78,12/19/2023
HASS UGANDA,8893214.86,6119761.46,12/02/2023,12/03/2023,5094622.61,3987422.65,12/04/2023
HASS TZ CMA,1165116.55,6269747.02,12/09/2023,12/01/2023,9923963.68,9858080.09,12/18/2023
HASS UGANDA,6562688.4,7243648.93,12/18/2023,12/30/2023,2132711.82,205417.05,12/29/2023
HASS UGANDA CMA,4621014.2,8447286.84,12/27/2023,12/04/2023,4976686.97,8271519.34,12/25/2023
NURAH ENERGY DRC,8506431.9,6282823.08,12/25/2023,12/22/2023,2265388.25,4958302.5,12/04/2023
REGIDE-BURUNDI,3748714.44,2277605.26,12/17/2023,12/30/2023,9731510.64,5833074.39,12/22/2023
HASS UGANDA,5879941.11,9559481.98,12/21/2023,12/11/2023,4520776.46,5439067.35,12/06/2023
HASS TZ,2826906.43,9451153.9,12/17/2023,12/20/2023,9534457.83,1755946.31,12/07/2023
NURAH ENERGY DRC,6618464.49,9873625.52,12/23/2023,12/22/2023,4188057.23,518118.41,12/14/2023
HASS DRC,3186799.73,9907912.66,12/06/2023,12/09/2023,4569834.31,988421.4,12/30/2023
TANK,7878799.8,6749366.18,12/23/2023,12/28/2023,1993586.04,3634138.99,12/18/2023
HASS RWANDA CMA,4543530.61,2620144.08,12/11/2023,12/17/2023,1666344.69,9179221.03,12/11/2023
NOTIONAL OIL COMPANY OF MALAWI,3703152.63,9917658.23,12/05/2023,12/16/2023,7600806.23,832391.2,12/05/2023
NURAH ENERGY DRC,1481257.15,6038293.19,12/18/2023,12/27/2023,3707145.94,3446931.81,12/17/2023
HASS TZ CMA,2289219.01,3675984.84,12/24/2023,12/01/2023,1406239.08,2460379.01,12/06/2023
HASS UGANDA CMA,3106739.61,3587324.49,12/19/2023,12/13/2023,608018.84,4285115.16,12/16/2023
HASS UGANDA,7403718.46,5512921.65,12/30/2023,12/14/2023,9351158.31,2416884.17,12/29/2023
HASS RWANDA CMA,5368637.83,5997158,12/20/2023,12/28/2023,7962500.23,8068571.81,12/24/2023
NOTIONAL OIL COMPANY OF MALAWI,5052993.1,7055581.62,12/03/2023,12/27/2023,4482596.57,4589641.41,12/11/2023
HASS RWANDA CMA,3667397.15,1018202.37,12/07/2023,12/12/2023,3307255.92,7642388.79,12/06/2023
HASS UGANDA,2992478.72,2643994.03,12/11/2023,12/19/2023,5064677.84,6759476.18,12/09/2023
ONE P,9442460.73,8499409.14,12/27/2023,12/24/2023,4001491.59,7299486.2,12/19/2023
MEWD ZAMBIA,8543866.3,2459911.82,12/10/2023,12/24/2023,1221983.41,3652126.22,12/27/2023
NOTIONAL OIL COMPANY OF MALAWI,7265805.57,9931712.77,12/05/2023,12/22/2023,3938476.99,7167130.08,12/19/2023
TANK,6469256.4,5513880.8,12/10/2023,12/25/2023,8082149.81,9834732.53,12/08/2023
HASS RWANDA,1275666.02,3605551.37,12/08/2023,12/21/2023,2571686.15,9488914.25,12/30/2023
ONE P,1406382.87,6234874.04,12/22/2023,12/26/2023,6382065.82,8543255.95,12/12/2023
HASS ZAMBIA CMA,4133986.45,1992759.07,12/03/2023,12/11/2023,9811302.49,7740961.72,12/20/2023
NOTIONAL OIL COMPANY OF MALAWI,7669442.18,5167040.3,12/01/2023,12/04/2023,1934388.32,1182807.22,12/28/2023
HASS UGANDA,5375737.41,1548404.98,12/14/2023,12/15/2023,3924379.95,7089962.27,12/24/2023
NURAH ENERGY DRC,3744341.47,3362826.38,12/05/2023,12/05/2023,5626563.12,2501673.84,12/20/2023
HASS DRC CMA,6220115.77,6198999.86,12/10/2023,12/25/2023,4781240.23,2699047.81,12/15/2023
NOTIONAL OIL COMPANY OF MALAWI,5976757.42,8475570,12/16/2023,12/14/2023,9835742.3,1205218.13,12/23/2023
HASS RWANDA,5084868.61,8417627.61,12/30/2023,12/23/2023,6825720.65,3236134.33,12/10/2023
HASS TZ,4489693.65,6080762.56,12/29/2023,12/05/2023,7701829.33,4796899.33,12/15/2023
NURAH ENERGY DRC,2837816.74,1441426.61,12/11/2023,12/17/2023,3208480.7,4962571.28,12/19/2023
HASS UGANDA,8260246.37,4874296.02,12/03/2023,12/18/2023,3559770.42,36956.07,12/25/2023
TANK,6528272.38,2630318.37,12/18/2023,12/09/2023,5811563.57,3877360.7,12/24/2023
HASS ZAMBIA CMA,3522159.81,7805740.5,12/13/2023,12/22/2023,1859184.29,3402.22,12/05/2023
NURAH ENERGY DRC,7611753.82,502128.08,12/10/2023,12/12/2023,6321606.72,3604873.82,12/06/2023
HASS RWANDA,339987.71,9747908.98,12/18/2023,12/26/2023,5067779,6037029.6,12/25/2023
MEWD ZAMBIA,3434933.13,778728.45,12/01/2023,12/13/2023,2929365.23,8296327.91,12/25/2023
HASS DRC,5435446.39,1765086.84,12/29/2023,12/26/2023,4324212.37,2058882.5,12/18/2023
HASS TZ CMA,7041394.57,7755316.52,12/12/2023,12/09/2023,864177.72,5336282.17,12/08/2023
NURAH ENERGY DRC,9503431.19,4948868.82,12/28/2023,12/24/2023,5781784.94,5746899.95,12/26/2023
HASS RWANDA CMA,6579179.11,6230846.64,12/16/2023,12/04/2023,3784051.18,4602514.95,12/24/2023
HASS ZAMBIA CMA,6350396,9868359.6,12/08/2023,12/22/2023,9859448.97,1106437.22,12/22/2023
NOTIONAL OIL COMPANY OF MALAWI,6071421.05,7829967.29,12/09/2023,12/25/2023,8043332.01,4214800.31,12/06/2023
HASS DRC,302442.25,3304419.16,12/30/2023,12/28/2023,2130241.32,5095387.97,12/02/2023
REGIDE-BURUNDI,3393389.19,3157079.93,12/25/2023,12/29/2023,5613736.97,6611332.99,12/05/2023
HASS DRC,4481311.15,4064452.03,12/19/2023,12/21/2023,1129334.7,7069943.74,12/05/2023
HASS RWANDA,9959406.97,5907447.26,12/21/2023,12/06/2023,4624206.59,2844041.5,12/23/2023
HASS RWANDA,3467766.52,2351010.1,12/23/2023,12/22/2023,3139141.53,4644240.97,12/30/2023
HASS RWANDA CMA,8970288.55,8967974.75,12/30/2023,12/27/2023,665658.44,1155021.95,12/13/2023
HASS TZ CMA,44241.96,7625601.31,12/29/2023,12/12/2023,5657379.7,2428606.26,12/29/2023
MEWD ZAMBIA,4130487.32,4760261.05,12/05/2023,12/07/2023,1671430.41,563284.66,12/01/2023
NURAH ENERGY DRC,3676473.45,1639205.58,12/16/2023,12/07/2023,548471.49,9938199.72,12/03/2023
HASS RWANDA,4091782.57,1793600.95,12/30/2023,12/11/2023,5506895.03,6460303.83,12/16/2023
HASS UGANDA,7004604.57,879850.71,12/11/2023,12/22/2023,846841.96,7374709.13,12/01/2023
ONE P,5014782.51,3067385.58,12/23/2023,12/20/2023,8145640.28,4137416.17,12/16/2023
HASS DRC,4321106.36,8711778.63,12/29/2023,12/08/2023,396405.37,471205.43,12/27/2023
REGIDE-BURUNDI,9244058.56,2231686.16,12/23/2023,12/28/2023,7310686.82,4738758.34,12/18/2023
HASS UGANDA,6329275.61,2859611.53,12/21/2023,12/07/2023,5034582.23,7050610.67,12/23/2023
ONE P,9247834.13,8199571.9,12/12/2023,12/12/2023,3225562.45,1737724.36,12/23/2023
HASS UGANDA,1591793.45,8585750.51,12/29/2023,12/09/2023,4320019.94,3712268.11,12/19/2023
NURAH ENERGY DRC,4458016.73,7845580.6,12/26/2023,12/29/2023,1008448.28,6380750.12,12/04/2023
NOTIONAL OIL COMPANY OF MALAWI,2454527.32,8962574.74,12/14/2023,12/01/2023,4599599.07,1695827.1,12/27/2023
NOTIONAL OIL COMPANY OF MALAWI,7542518.52,1781086.7,12/21/2023,12/08/2023,3534020.29,3699232.19,12/27/2023
HASS UGANDA,4672152.78,5037618.31,12/10/2023,12/19/2023,2965399.84,2174298.88,12/08/2023
TANK,7540063.66,8376538.7,12/06/2023,12/24/2023,8026993.19,8918747.77,12/17/2023
HASS DRC CMA,2446629.78,959372.78,12/22/2023,12/19/2023,6664294.5,1183999.2,12/03/2023
HASS DRC,48584.65,1050790.42,12/06/2023,12/17/2023,324629.69,232224.76,12/30/2023
HASS TZ CMA,6587911.97,8433841.73,12/01/2023,12/14/2023,6008292.93,5245754.25,12/23/2023
HASS UGANDA,9112387.24,3467034.84,12/18/2023,12/03/2023,1622024.95,8977952.62,12/27/2023
NURAH ENERGY DRC,5050678.44,4923460.7,12/28/2023,12/03/2023,2039145.64,3077659.47,12/28/2023
HASS UGANDA,9117487.91,8175913.31,12/02/2023,12/05/2023,2051348.43,8119910.35,12/06/2023
HASS TZ CMA,8253666.45,6019231.63,12/14/2023,12/07/2023,2061908.21,7874117.83,12/24/2023
HASS UGANDA CMA,1585459.54,8725412.46,12/23/2023,12/14/2023,664112.44,6966148.2,12/26/2023
HASS UGANDA,7281543.72,2828169.22,12/23/2023,12/09/2023,1762698.39,4542104.24,12/25/2023
HASS RWANDA,4834421.42,6889941.05,12/30/2023,12/01/2023,7396826.98,3742895.01,12/20/2023
ONE P,3393355.06,7380839.15,12/27/2023,12/29/2023,3052780.55,9118469.71,12/07/2023
MEWD ZAMBIA,4280873.55,563420.1,12/24/2023,12/18/2023,4335883.55,2151343.73,12/06/2023
NURAH ENERGY DRC,5011295.79,597050.22,12/01/2023,12/03/2023,2222481.65,2393537.33,12/06/2023
HASS DRC,5252260.88,8574839.79,12/21/2023,12/24/2023,682273.14,9985438.47,12/22/2023
HASS RWANDA CMA,4919314.82,8170432.84,12/06/2023,12/02/2023,5651846.04,9025383.93,12/08/2023
HASS RWANDA,6539844.6,8227832.85,12/05/2023,12/16/2023,9282187.48,2462332.69,12/28/2023
REGIDE-BURUNDI,7190373.7,1063841.95,12/01/2023,12/11/2023,6943287.92,8551182.5,12/24/2023
HASS DRC,3729647.69,1418142.24,12/24/2023,12/04/2023,2648381.65,266854.72,12/18/2023
ONE P,1333116.89,4040701.99,12/04/2023,12/02/2023,2210292.4,3929515.31,12/01/2023
HASS TZ CMA,2470451.16,4300561.95,12/04/2023,12/28/2023,8751041.38,705579.41,12/13/2023
ONE P,7537469.89,4753237.08,12/15/2023,12/28/2023,9311557.74,676682.22,12/13/2023
HASS ZAMBIA CMA,7791280.35,4696244.28,12/10/2023,12/05/2023,4832083.33,5632127.53,12/23/2023
HASS ZAMBIA CMA,8847767.06,171936.26,12/20/2023,12/08/2023,4477048.66,8826162.98,12/06/2023
HASS DRC CMA,6165020.02,7252738.3,12/14/2023,12/25/2023,1679699.56,6814889.22,12/02/2023
ONE P,740163.6,2969924.65,12/30/2023,12/27/2023,4157476.98,7591647.82,12/07/2023
NURAH ENERGY DRC,7174089.25,9809334.38,12/08/2023,12/26/2023,9647995.59,9953314.95,12/14/2023
HASS TZ CMA,3471397.66,6883821.09,12/28/2023,12/04/2023,4956115.17,4330039.77,12/09/2023
HASS DRC CMA,5486089.72,8489331.23,12/20/2023,12/20/2023,4445938.92,7551466.16,12/24/2023
HASS UGANDA CMA,9237664.35,8002166.72,12/27/2023,12/19/2023,8247787.74,5691647.15,12/03/2023
HASS TZ CMA,6886201.01,8661674.46,12/21/2023,12/29/2023,3801837.96,9962843.1,12/15/2023
HASS RWANDA CMA,2852757.88,9141864.88,12/22/2023,12/03/2023,2459745.78,9680371.18,12/28/2023
HASS RWANDA,458711.3,7824697.66,12/27/2023,12/06/2023,9179136.52,6988716.96,12/05/2023
NURAH ENERGY DRC,6564404.43,4856988.48,12/24/2023,12/10/2023,2504911.09,2083362.95,12/08/2023
MEWD ZAMBIA,8070965.8,2527295.34,12/23/2023,12/30/2023,2945764.64,3443554.89,12/23/2023
HASS ZAMBIA CMA,2561141.32,5991301.48,12/13/2023,12/17/2023,495724.26,3634762.13,12/13/2023
MEWD ZAMBIA,6053033.32,8978531.25,12/17/2023,12/20/2023,8025928.84,1170144.81,12/10/2023
HASS TZ,7425007.22,3071855,12/05/2023,12/06/2023,6900948.82,8623985.98,12/03/2023
TANK,2504738.74,9063297.42,12/28/2023,12/14/2023,8302718.38,3305377.77,12/17/2023
HASS DRC,9902429.32,2456401.5,12/30/2023,12/30/2023,6257706.87,9747901.19,12/01/2023
HASS DRC CMA,4219059.19,9070630.04,12/23/2023,12/24/2023,2769446.68,4406439.22,12/28/2023
MEWD ZAMBIA,8921073.74,9654806.37,12/29/2023,12/10/2023,59361.04,5923783.29,12/15/2023
HASS ZAMBIA CMA,3379184.68,5086431.49,12/16/2023,12/30/2023,2689241.87,3674728.01,12/12/2023
NURAH ENERGY DRC,9006133.79,4823337.55,12/08/2023,12/13/2023,5919653.34,4946006.62,12/28/2023
HASS DRC,2274859.71,3175413.23,12/20/2023,12/25/2023,4239077.41,3215404.99,12/29/2023
HASS UGANDA,3671179.86,1713898.39,12/10/2023,12/22/2023,6964960.14,5529249.7,12/24/2023
TANK,3564459.89,526060.7,12/27/2023,12/11/2023,9829970.83,482595.1,12/13/2023
HASS TZ,5110969.63,7531281.62,12/14/2023,12/27/2023,4014852.65,8853404.17,12/16/2023
NOTIONAL OIL COMPANY OF MALAWI,4010280.1,6370872.8,12/15/2023,12/12/2023,1374044.53,8891678.22,12/09/2023
HASS RWANDA CMA,3540289.13,566214.69,12/23/2023,12/09/2023,8690959.34,7487666.1,12/27/2023
HASS RWANDA,2930517.23,3542707.94,12/27/2023,12/16/2023,2787493.82,250287.26,12/01/2023
NURAH ENERGY DRC,9621708.81,7761916.05,12/01/2023,12/16/2023,4635258.48,2653609.33,12/05/2023
HASS TZ CMA,2591372.81,8988229.14,12/04/2023,12/14/2023,2021177.13,6406130.25,12/11/2023
HASS TZ CMA,7813560.69,4859379.05,12/17/2023,12/21/2023,5983813.34,8804418.57,12/26/2023
MEWD ZAMBIA,1055525.2,5376123.03,12/08/2023,12/02/2023,9815758.85,7765744.27,12/28/2023
HASS DRC CMA,9573987.43,4453799.28,12/05/2023,12/07/2023,4509789.11,2506050.84,12/05/2023
HASS DRC,3759626.87,3228682.7,12/30/2023,12/23/2023,2481706.56,8725703.16,12/02/2023
NURAH ENERGY DRC,4273636.93,7957697.74,12/07/2023,12/28/2023,3936883.61,8323561.89,12/04/2023
HASS RWANDA,1243883.93,2319251.39,12/04/2023,12/06/2023,7765104.46,252972.84,12/10/2023
HASS TZ CMA,8752371.61,3717337.66,12/19/2023,12/01/2023,1821179.74,6787000.7,12/27/2023
HASS ZAMBIA CMA,812755.25,791015.11,12/02/2023,12/12/2023,2316327.3,5038531.26,12/12/2023
HASS UGANDA,8015945.55,1623298.8,12/22/2023,12/29/2023,1093514.15,1721309.46,12/26/2023
REGIDE-BURUNDI,1570664.41,4281244.4,12/21/2023,12/10/2023,2078742.55,2336004.46,12/28/2023
TANK,1740946.55,5637409.35,12/04/2023,12/29/2023,8710944.68,7541572.58,12/22/2023
MEWD ZAMBIA,2589458.65,6217768.89,12/01/2023,12/27/2023,1100024.28,1347088.42,12/20/2023
NURAH ENERGY DRC,3830563.96,944356.65,12/15/2023,12/06/2023,5977750.56,9515337.76,12/14/2023
HASS TZ,1488549.71,3663524.34,12/12/2023,12/11/2023,1315405.4,5220200.43,12/27/2023
HASS UGANDA CMA,4361050.04,8603634.47,12/16/2023,12/29/2023,9960045.56,5157594,12/10/2023
HASS DRC,9736529.63,9966061.04,12/30/2023,12/25/2023,9982172.89,487352.67,12/04/2023
HASS TZ CMA,4595067.92,5625687.07,12/05/2023,12/27/2023,6612766.37,8569538.93,12/16/2023
HASS RWANDA,8232665.26,3390046.63,12/12/2023,12/04/2023,8160431.13,5891393.1,12/12/2023
HASS DRC CMA,2224073.81,9296070.77,12/25/2023,12/22/2023,3934025.07,8158551.82,12/28/2023
HASS UGANDA CMA,5085741.96,5529322.92,12/18/2023,12/17/2023,5324690.17,3094648.27,12/11/2023
MEWD ZAMBIA,8171488.07,2087999.97,12/09/2023,12/28/2023,5119468.85,490477.82,12/19/2023
NURAH ENERGY DRC,7754173.13,534874.38,12/05/2023,12/01/2023,4588258.34,6287302.1,12/19/2023
ONE P,3619317.58,5689314.58,12/27/2023,12/11/2023,2282864.14,477255.04,12/27/2023
HASS TZ CMA,7914171.89,3343020.59,12/07/2023,12/13/2023,2295559.23,9272299.46,12/22/2023
HASS RWANDA,616883.27,8396466.51,12/24/2023,12/15/2023,2956739.96,2422904.3,12/16/2023
HASS UGANDA,1028939.31,6738296.53,12/30/2023,12/13/2023,2047639.91,1628443.52,12/16/2023
HASS RWANDA,5603940.18,908273.56,12/15/2023,12/20/2023,6653575.09,2603964.08,12/25/2023
HASS RWANDA CMA,7058463.54,1207559.6,12/14/2023,12/10/2023,8892350.18,2264951.33,12/16/2023
NURAH ENERGY DRC,6265149.17,1250874.54,12/27/2023,12/01/2023,2961829.74,6951358.11,12/18/2023
TANK,6760969.69,9807393.54,12/28/2023,12/10/2023,2937260.38,2596781.63,12/11/2023
